sequence,change_type,difficulty,reference_image,target_image,homography
i_ajuntament,illumination,1,i_ajuntament/1.ppm,i_ajuntament/2.ppm,i_ajuntament/H_1_2
i_ajuntament,illumination,2,i_ajuntament/1.ppm,i_ajuntament/3.ppm,i_ajuntament/H_1_3
i_ajuntament,illumination,3,i_ajuntament/1.ppm,i_ajuntament/4.ppm,i_ajuntament/H_1_4
i_ajuntament,illumination,4,i_ajuntament/1.ppm,i_ajuntament/5.ppm,i_ajuntament/H_1_5
i_ajuntament,illumination,5,i_ajuntament/1.ppm,i_ajuntament/6.ppm,i_ajuntament/H_1_6
i_autannes,illumination,1,i_autannes/1.ppm,i_autannes/2.ppm,i_autannes/H_1_2
i_autannes,illumination,2,i_autannes/1.ppm,i_autannes/3.ppm,i_autannes/H_1_3
i_autannes,illumination,3,i_autannes/1.ppm,i_autannes/4.ppm,i_autannes/H_1_4
i_autannes,illumination,4,i_autannes/1.ppm,i_autannes/5.ppm,i_autannes/H_1_5
i_autannes,illumination,5,i_autannes/1.ppm,i_autannes/6.ppm,i_autannes/H_1_6
i_bologna,illumination,1,i_bologna/1.ppm,i_bologna/2.ppm,i_bologna/H_1_2
i_bologna,illumination,2,i_bologna/1.ppm,i_bologna/3.ppm,i_bologna/H_1_3
i_bologna,illumination,3,i_bologna/1.ppm,i_bologna/4.ppm,i_bologna/H_1_4
i_bologna,illumination,4,i_bologna/1.ppm,i_bologna/5.ppm,i_bologna/H_1_5
i_bologna,illumination,5,i_bologna/1.ppm,i_bologna/6.ppm,i_bologna/H_1_6
i_books,illumination,1,i_books/1.ppm,i_books/2.ppm,i_books/H_1_2
i_books,illumination,2,i_books/1.ppm,i_books/3.ppm,i_books/H_1_3
i_books,illumination,3,i_books/1.ppm,i_books/4.ppm,i_books/H_1_4
i_books,illumination,4,i_books/1.ppm,i_books/5.ppm,i_books/H_1_5
i_books,illumination,5,i_books/1.ppm,i_books/6.ppm,i_books/H_1_6
i_boutique,illumination,1,i_boutique/1.ppm,i_boutique/2.ppm,i_boutique/H_1_2
i_boutique,illumination,2,i_boutique/1.ppm,i_boutique/3.ppm,i_boutique/H_1_3
i_boutique,illumination,3,i_boutique/1.ppm,i_boutique/4.ppm,i_boutique/H_1_4
i_boutique,illumination,4,i_boutique/1.ppm,i_boutique/5.ppm,i_boutique/H_1_5
i_boutique,illumination,5,i_boutique/1.ppm,i_boutique/6.ppm,i_boutique/H_1_6
i_bridger,illumination,1,i_bridger/1.ppm,i_bridger/2.ppm,i_bridger/H_1_2
i_bridger,illumination,2,i_bridger/1.ppm,i_bridger/3.ppm,i_bridger/H_1_3
i_bridger,illumination,3,i_bridger/1.ppm,i_bridger/4.ppm,i_bridger/H_1_4
i_bridger,illumination,4,i_bridger/1.ppm,i_bridger/5.ppm,i_bridger/H_1_5
i_bridger,illumination,5,i_bridger/1.ppm,i_bridger/6.ppm,i_bridger/H_1_6
i_brooklyn,illumination,1,i_brooklyn/1.ppm,i_brooklyn/2.ppm,i_brooklyn/H_1_2
i_brooklyn,illumination,2,i_brooklyn/1.ppm,i_brooklyn/3.ppm,i_brooklyn/H_1_3
i_brooklyn,illumination,3,i_brooklyn/1.ppm,i_brooklyn/4.ppm,i_brooklyn/H_1_4
i_brooklyn,illumination,4,i_brooklyn/1.ppm,i_brooklyn/5.ppm,i_brooklyn/H_1_5
i_brooklyn,illumination,5,i_brooklyn/1.ppm,i_brooklyn/6.ppm,i_brooklyn/H_1_6
i_castle,illumination,1,i_castle/1.ppm,i_castle/2.ppm,i_castle/H_1_2
i_castle,illumination,2,i_castle/1.ppm,i_castle/3.ppm,i_castle/H_1_3
i_castle,illumination,3,i_castle/1.ppm,i_castle/4.ppm,i_castle/H_1_4
i_castle,illumination,4,i_castle/1.ppm,i_castle/5.ppm,i_castle/H_1_5
i_castle,illumination,5,i_castle/1.ppm,i_castle/6.ppm,i_castle/H_1_6
i_chestnuts,illumination,1,i_chestnuts/1.ppm,i_chestnuts/2.ppm,i_chestnuts/H_1_2
i_chestnuts,illumination,2,i_chestnuts/1.ppm,i_chestnuts/3.ppm,i_chestnuts/H_1_3
i_chestnuts,illumination,3,i_chestnuts/1.ppm,i_chestnuts/4.ppm,i_chestnuts/H_1_4
i_chestnuts,illumination,4,i_chestnuts/1.ppm,i_chestnuts/5.ppm,i_chestnuts/H_1_5
i_chestnuts,illumination,5,i_chestnuts/1.ppm,i_chestnuts/6.ppm,i_chestnuts/H_1_6
i_contruction,illumination,1,i_contruction/1.ppm,i_contruction/2.ppm,i_contruction/H_1_2
i_contruction,illumination,2,i_contruction/1.ppm,i_contruction/3.ppm,i_contruction/H_1_3
i_contruction,illumination,3,i_contruction/1.ppm,i_contruction/4.ppm,i_contruction/H_1_4
i_contruction,illumination,4,i_contruction/1.ppm,i_contruction/5.ppm,i_contruction/H_1_5
i_contruction,illumination,5,i_contruction/1.ppm,i_contruction/6.ppm,i_contruction/H_1_6
i_crownday,illumination,1,i_crownday/1.ppm,i_crownday/2.ppm,i_crownday/H_1_2
i_crownday,illumination,2,i_crownday/1.ppm,i_crownday/3.ppm,i_crownday/H_1_3
i_crownday,illumination,3,i_crownday/1.ppm,i_crownday/4.ppm,i_crownday/H_1_4
i_crownday,illumination,4,i_crownday/1.ppm,i_crownday/5.ppm,i_crownday/H_1_5
i_crownday,illumination,5,i_crownday/1.ppm,i_crownday/6.ppm,i_crownday/H_1_6
i_crownnight,illumination,1,i_crownnight/1.ppm,i_crownnight/2.ppm,i_crownnight/H_1_2
i_crownnight,illumination,2,i_crownnight/1.ppm,i_crownnight/3.ppm,i_crownnight/H_1_3
i_crownnight,illumination,3,i_crownnight/1.ppm,i_crownnight/4.ppm,i_crownnight/H_1_4
i_crownnight,illumination,4,i_crownnight/1.ppm,i_crownnight/5.ppm,i_crownnight/H_1_5
i_crownnight,illumination,5,i_crownnight/1.ppm,i_crownnight/6.ppm,i_crownnight/H_1_6
i_dc,illumination,1,i_dc/1.ppm,i_dc/2.ppm,i_dc/H_1_2
i_dc,illumination,2,i_dc/1.ppm,i_dc/3.ppm,i_dc/H_1_3
i_dc,illumination,3,i_dc/1.ppm,i_dc/4.ppm,i_dc/H_1_4
i_dc,illumination,4,i_dc/1.ppm,i_dc/5.ppm,i_dc/H_1_5
i_dc,illumination,5,i_dc/1.ppm,i_dc/6.ppm,i_dc/H_1_6
i_dome,illumination,1,i_dome/1.ppm,i_dome/2.ppm,i_dome/H_1_2
i_dome,illumination,2,i_dome/1.ppm,i_dome/3.ppm,i_dome/H_1_3
i_dome,illumination,3,i_dome/1.ppm,i_dome/4.ppm,i_dome/H_1_4
i_dome,illumination,4,i_dome/1.ppm,i_dome/5.ppm,i_dome/H_1_5
i_dome,illumination,5,i_dome/1.ppm,i_dome/6.ppm,i_dome/H_1_6
i_duda,illumination,1,i_duda/1.ppm,i_duda/2.ppm,i_duda/H_1_2
i_duda,illumination,2,i_duda/1.ppm,i_duda/3.ppm,i_duda/H_1_3
i_duda,illumination,3,i_duda/1.ppm,i_duda/4.ppm,i_duda/H_1_4
i_duda,illumination,4,i_duda/1.ppm,i_duda/5.ppm,i_duda/H_1_5
i_duda,illumination,5,i_duda/1.ppm,i_duda/6.ppm,i_duda/H_1_6
i_fenis,illumination,1,i_fenis/1.ppm,i_fenis/2.ppm,i_fenis/H_1_2
i_fenis,illumination,2,i_fenis/1.ppm,i_fenis/3.ppm,i_fenis/H_1_3
i_fenis,illumination,3,i_fenis/1.ppm,i_fenis/4.ppm,i_fenis/H_1_4
i_fenis,illumination,4,i_fenis/1.ppm,i_fenis/5.ppm,i_fenis/H_1_5
i_fenis,illumination,5,i_fenis/1.ppm,i_fenis/6.ppm,i_fenis/H_1_6
i_fog,illumination,1,i_fog/1.ppm,i_fog/2.ppm,i_fog/H_1_2
i_fog,illumination,2,i_fog/1.ppm,i_fog/3.ppm,i_fog/H_1_3
i_fog,illumination,3,i_fog/1.ppm,i_fog/4.ppm,i_fog/H_1_4
i_fog,illumination,4,i_fog/1.ppm,i_fog/5.ppm,i_fog/H_1_5
i_fog,illumination,5,i_fog/1.ppm,i_fog/6.ppm,i_fog/H_1_6
i_fruits,illumination,1,i_fruits/1.ppm,i_fruits/2.ppm,i_fruits/H_1_2
i_fruits,illumination,2,i_fruits/1.ppm,i_fruits/3.ppm,i_fruits/H_1_3
i_fruits,illumination,3,i_fruits/1.ppm,i_fruits/4.ppm,i_fruits/H_1_4
i_fruits,illumination,4,i_fruits/1.ppm,i_fruits/5.ppm,i_fruits/H_1_5
i_fruits,illumination,5,i_fruits/1.ppm,i_fruits/6.ppm,i_fruits/H_1_6
i_gonnenberg,illumination,1,i_gonnenberg/1.ppm,i_gonnenberg/2.ppm,i_gonnenberg/H_1_2
i_gonnenberg,illumination,2,i_gonnenberg/1.ppm,i_gonnenberg/3.ppm,i_gonnenberg/H_1_3
i_gonnenberg,illumination,3,i_gonnenberg/1.ppm,i_gonnenberg/4.ppm,i_gonnenberg/H_1_4
i_gonnenberg,illumination,4,i_gonnenberg/1.ppm,i_gonnenberg/5.ppm,i_gonnenberg/H_1_5
i_gonnenberg,illumination,5,i_gonnenberg/1.ppm,i_gonnenberg/6.ppm,i_gonnenberg/H_1_6
i_greenhouse,illumination,1,i_greenhouse/1.ppm,i_greenhouse/2.ppm,i_greenhouse/H_1_2
i_greenhouse,illumination,2,i_greenhouse/1.ppm,i_greenhouse/3.ppm,i_greenhouse/H_1_3
i_greenhouse,illumination,3,i_greenhouse/1.ppm,i_greenhouse/4.ppm,i_greenhouse/H_1_4
i_greenhouse,illumination,4,i_greenhouse/1.ppm,i_greenhouse/5.ppm,i_greenhouse/H_1_5
i_greenhouse,illumination,5,i_greenhouse/1.ppm,i_greenhouse/6.ppm,i_greenhouse/H_1_6
i_greentea,illumination,1,i_greentea/1.ppm,i_greentea/2.ppm,i_greentea/H_1_2
i_greentea,illumination,2,i_greentea/1.ppm,i_greentea/3.ppm,i_greentea/H_1_3
i_greentea,illumination,3,i_greentea/1.ppm,i_greentea/4.ppm,i_greentea/H_1_4
i_greentea,illumination,4,i_greentea/1.ppm,i_greentea/5.ppm,i_greentea/H_1_5
i_greentea,illumination,5,i_greentea/1.ppm,i_greentea/6.ppm,i_greentea/H_1_6
i_indiana,illumination,1,i_indiana/1.ppm,i_indiana/2.ppm,i_indiana/H_1_2
i_indiana,illumination,2,i_indiana/1.ppm,i_indiana/3.ppm,i_indiana/H_1_3
i_indiana,illumination,3,i_indiana/1.ppm,i_indiana/4.ppm,i_indiana/H_1_4
i_indiana,illumination,4,i_indiana/1.ppm,i_indiana/5.ppm,i_indiana/H_1_5
i_indiana,illumination,5,i_indiana/1.ppm,i_indiana/6.ppm,i_indiana/H_1_6
i_kions,illumination,1,i_kions/1.ppm,i_kions/2.ppm,i_kions/H_1_2
i_kions,illumination,2,i_kions/1.ppm,i_kions/3.ppm,i_kions/H_1_3
i_kions,illumination,3,i_kions/1.ppm,i_kions/4.ppm,i_kions/H_1_4
i_kions,illumination,4,i_kions/1.ppm,i_kions/5.ppm,i_kions/H_1_5
i_kions,illumination,5,i_kions/1.ppm,i_kions/6.ppm,i_kions/H_1_6
i_ktirio,illumination,1,i_ktirio/1.ppm,i_ktirio/2.ppm,i_ktirio/H_1_2
i_ktirio,illumination,2,i_ktirio/1.ppm,i_ktirio/3.ppm,i_ktirio/H_1_3
i_ktirio,illumination,3,i_ktirio/1.ppm,i_ktirio/4.ppm,i_ktirio/H_1_4
i_ktirio,illumination,4,i_ktirio/1.ppm,i_ktirio/5.ppm,i_ktirio/H_1_5
i_ktirio,illumination,5,i_ktirio/1.ppm,i_ktirio/6.ppm,i_ktirio/H_1_6
i_kurhaus,illumination,1,i_kurhaus/1.ppm,i_kurhaus/2.ppm,i_kurhaus/H_1_2
i_kurhaus,illumination,2,i_kurhaus/1.ppm,i_kurhaus/3.ppm,i_kurhaus/H_1_3
i_kurhaus,illumination,3,i_kurhaus/1.ppm,i_kurhaus/4.ppm,i_kurhaus/H_1_4
i_kurhaus,illumination,4,i_kurhaus/1.ppm,i_kurhaus/5.ppm,i_kurhaus/H_1_5
i_kurhaus,illumination,5,i_kurhaus/1.ppm,i_kurhaus/6.ppm,i_kurhaus/H_1_6
i_leuven,illumination,1,i_leuven/1.ppm,i_leuven/2.ppm,i_leuven/H_1_2
i_leuven,illumination,2,i_leuven/1.ppm,i_leuven/3.ppm,i_leuven/H_1_3
i_leuven,illumination,3,i_leuven/1.ppm,i_leuven/4.ppm,i_leuven/H_1_4
i_leuven,illumination,4,i_leuven/1.ppm,i_leuven/5.ppm,i_leuven/H_1_5
i_leuven,illumination,5,i_leuven/1.ppm,i_leuven/6.ppm,i_leuven/H_1_6
i_lionday,illumination,1,i_lionday/1.ppm,i_lionday/2.ppm,i_lionday/H_1_2
i_lionday,illumination,2,i_lionday/1.ppm,i_lionday/3.ppm,i_lionday/H_1_3
i_lionday,illumination,3,i_lionday/1.ppm,i_lionday/4.ppm,i_lionday/H_1_4
i_lionday,illumination,4,i_lionday/1.ppm,i_lionday/5.ppm,i_lionday/H_1_5
i_lionday,illumination,5,i_lionday/1.ppm,i_lionday/6.ppm,i_lionday/H_1_6
i_lionnight,illumination,1,i_lionnight/1.ppm,i_lionnight/2.ppm,i_lionnight/H_1_2
i_lionnight,illumination,2,i_lionnight/1.ppm,i_lionnight/3.ppm,i_lionnight/H_1_3
i_lionnight,illumination,3,i_lionnight/1.ppm,i_lionnight/4.ppm,i_lionnight/H_1_4
i_lionnight,illumination,4,i_lionnight/1.ppm,i_lionnight/5.ppm,i_lionnight/H_1_5
i_lionnight,illumination,5,i_lionnight/1.ppm,i_lionnight/6.ppm,i_lionnight/H_1_6
i_londonbridge,illumination,1,i_londonbridge/1.ppm,i_londonbridge/2.ppm,i_londonbridge/H_1_2
i_londonbridge,illumination,2,i_londonbridge/1.ppm,i_londonbridge/3.ppm,i_londonbridge/H_1_3
i_londonbridge,illumination,3,i_londonbridge/1.ppm,i_londonbridge/4.ppm,i_londonbridge/H_1_4
i_londonbridge,illumination,4,i_londonbridge/1.ppm,i_londonbridge/5.ppm,i_londonbridge/H_1_5
i_londonbridge,illumination,5,i_londonbridge/1.ppm,i_londonbridge/6.ppm,i_londonbridge/H_1_6
i_melon,illumination,1,i_melon/1.ppm,i_melon/2.ppm,i_melon/H_1_2
i_melon,illumination,2,i_melon/1.ppm,i_melon/3.ppm,i_melon/H_1_3
i_melon,illumination,3,i_melon/1.ppm,i_melon/4.ppm,i_melon/H_1_4
i_melon,illumination,4,i_melon/1.ppm,i_melon/5.ppm,i_melon/H_1_5
i_melon,illumination,5,i_melon/1.ppm,i_melon/6.ppm,i_melon/H_1_6
i_miniature,illumination,1,i_miniature/1.ppm,i_miniature/2.ppm,i_miniature/H_1_2
i_miniature,illumination,2,i_miniature/1.ppm,i_miniature/3.ppm,i_miniature/H_1_3
i_miniature,illumination,3,i_miniature/1.ppm,i_miniature/4.ppm,i_miniature/H_1_4
i_miniature,illumination,4,i_miniature/1.ppm,i_miniature/5.ppm,i_miniature/H_1_5
i_miniature,illumination,5,i_miniature/1.ppm,i_miniature/6.ppm,i_miniature/H_1_6
i_nescafe,illumination,1,i_nescafe/1.ppm,i_nescafe/2.ppm,i_nescafe/H_1_2
i_nescafe,illumination,2,i_nescafe/1.ppm,i_nescafe/3.ppm,i_nescafe/H_1_3
