sequence,condition,reference_image,test_image,pair,reference_keypoints,test_keypoints,raw_ratio_matches,match_count,correct_matches,visible_reference,precision,recall,mean_error,mma_score,mma_at_3,mma_at_1,mma_at_2,mma_at_3,mma_at_5,mma_at_8,mma_at_10,reference_extract_s,test_extract_s,match_s,pair_total_s
i_ajuntament,illumination,1,2,1->2,500,500,241,219,207,500,0.9452054794520548,0.414,3.3797243037055273,0.9170471841704719,0.9452054794520548,0.7853881278538812,0.8858447488584474,0.9452054794520548,0.958904109589041,0.9634703196347032,0.9634703196347032,0.14014450006652623,0.004372399998828769,0.002584100002422929,0.14710100006777793
i_ajuntament,illumination,1,3,1->3,500,500,26,13,7,500,0.5384615384615384,0.014,32.67693535700491,0.6025641025641025,0.5384615384615384,0.38461538461538464,0.38461538461538464,0.5384615384615384,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.14014450006652623,0.004294399986974895,0.0022710999473929405,0.14671000000089407
i_ajuntament,illumination,1,4,1->4,500,500,13,3,0,500,0.0,0.0,185.69008022305215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14014450006652623,0.004119799938052893,0.002216799999587238,0.14648110000416636
i_ajuntament,illumination,1,5,1->5,500,500,5,2,0,500,0.0,0.0,206.3403054321523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14014450006652623,0.003997100051492453,0.0021997999865561724,0.14634140010457486
i_ajuntament,illumination,1,6,1->6,500,500,7,3,0,500,0.0,0.0,188.9227078080868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14014450006652623,0.004469699924811721,0.00250260008033365,0.1471168000716716
i_autannes,illumination,1,2,1->2,500,500,2,2,1,500,0.5,0.002,217.1176249842731,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.012416200013831258,0.012571700033731759,0.002338399994187057,0.027326300041750073
i_autannes,illumination,1,3,1->3,500,500,3,2,0,500,0.0,0.0,660.1154520214773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012416200013831258,0.012291899998672307,0.002265899907797575,0.02697399992030114
i_autannes,illumination,1,4,1->4,500,500,10,9,7,500,0.7777777777777778,0.014,58.00078919103281,0.6851851851851851,0.7777777777777778,0.2222222222222222,0.4444444444444444,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.012416200013831258,0.01763130002655089,0.002326300018467009,0.032373800058849156
i_autannes,illumination,1,5,1->5,500,500,1,1,0,500,0.0,0.0,1076.2251554562808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012416200013831258,0.017293800017796457,0.0022559999488294125,0.03196599998045713
i_autannes,illumination,1,6,1->6,500,500,79,72,70,500,0.9722222222222222,0.14,1.0492288080872376,0.8796296296296297,0.9722222222222222,0.4861111111111111,0.8333333333333334,0.9722222222222222,0.9861111111111112,1.0,1.0,0.012416200013831258,0.011173499980941415,0.0022254999494180083,0.02581519994419068
