sequence,condition,reference_image,test_image,pair,reference_keypoints,test_keypoints,raw_ratio_matches,match_count,correct_matches,visible_reference,precision,recall,mean_error,mma_score,mma_at_3,mma_at_1,mma_at_2,mma_at_3,mma_at_5,mma_at_8,mma_at_10,reference_extract_s,test_extract_s,match_s,pair_total_s
i_ajuntament,illumination,1,2,1->2,840,780,348,304,272,840,0.8947368421052632,0.3238095238095238,11.123589383424086,0.8585526315789473,0.8947368421052632,0.694078947368421,0.8519736842105263,0.8947368421052632,0.9013157894736842,0.9046052631578947,0.9046052631578947,0.09254469999723369,0.07630480000079842,0.015572799999063136,0.18442229999709525
i_ajuntament,illumination,1,3,1->3,840,417,64,34,10,840,0.29411764705882354,0.011904761904761904,86.71846602653058,0.303921568627451,0.29411764705882354,0.058823529411764705,0.17647058823529413,0.29411764705882354,0.38235294117647056,0.4411764705882353,0.47058823529411764,0.09254469999723369,0.08685550000154763,0.005468200000905199,0.18486839999968652
i_ajuntament,illumination,1,4,1->4,840,302,38,24,5,840,0.20833333333333334,0.005952380952380952,266.10893421863744,0.1875,0.20833333333333334,0.08333333333333333,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.09254469999723369,0.07318909999958123,0.004119000001082895,0.16985279999789782
i_ajuntament,illumination,1,5,1->5,840,236,79,21,6,840,0.2857142857142857,0.007142857142857143,188.19416405412144,0.28571428571428564,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.09254469999723369,0.10891239999909885,0.0037473000011232216,0.20520439999745577
i_ajuntament,illumination,1,6,1->6,840,290,33,18,6,840,0.3333333333333333,0.007142857142857143,148.03818876445777,0.3333333333333333,0.3333333333333333,0.2777777777777778,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.3888888888888889,0.09254469999723369,0.09100600000238046,0.004014400001324248,0.1875651000009384
i_autannes,illumination,1,2,1->2,2677,2770,641,628,616,2677,0.9808917197452229,0.23010833022039598,2.4422972256579025,0.9766454352441615,0.9808917197452229,0.9490445859872612,0.9761146496815286,0.9808917197452229,0.9808917197452229,0.9856687898089171,0.9872611464968153,0.3400763999998162,0.2628645000004326,0.08104249999814783,0.6839833999983966
i_autannes,illumination,1,3,1->3,2677,3686,456,443,428,2677,0.9661399548532731,0.15988046320508031,14.341815281804827,0.9593679458239278,0.9661399548532731,0.9232505643340858,0.9593679458239278,0.9661399548532731,0.9683972911963883,0.9683972911963883,0.9706546275395034,0.3400763999998162,0.31007389999649604,0.11141259999931208,0.7615628999956243
i_autannes,illumination,1,4,1->4,2677,8449,72,68,26,2677,0.38235294117647056,0.009712364587224505,47.055512459382825,0.5367647058823529,0.38235294117647056,0.029411764705882353,0.23529411764705882,0.38235294117647056,0.8382352941176471,0.8676470588235294,0.8676470588235294,0.3400763999998162,0.27046059999702265,0.21445030000177212,0.824987299998611
i_autannes,illumination,1,5,1->5,2677,7792,69,65,49,2677,0.7538461538461538,0.018304071722076952,96.1028737318859,0.7256410256410256,0.7538461538461538,0.5846153846153846,0.7230769230769231,0.7538461538461538,0.7538461538461538,0.7692307692307693,0.7692307692307693,0.3400763999998162,0.2812417999994068,0.20748269999967306,0.8288008999988961
i_autannes,illumination,1,6,1->6,2677,3236,250,245,226,2677,0.9224489795918367,0.08442286141202839,18.423823707076366,0.8537414965986395,0.9224489795918367,0.49387755102040815,0.8775510204081632,0.9224489795918367,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.3400763999998162,0.38570809999873745,0.09160310000152094,0.8173876000000746
i_bologna,illumination,1,2,1->2,264,573,97,95,93,264,0.9789473684210527,0.3522727272727273,1.2924561611056524,0.9771929824561404,0.9789473684210527,0.9473684210526315,0.9789473684210527,0.9789473684210527,0.9789473684210527,0.9894736842105263,0.9894736842105263,0.06416940000053728,0.07266979999985779,0.0037999999985913746,0.14063919999898644
i_bologna,illumination,1,3,1->3,264,786,82,77,74,264,0.961038961038961,0.2803030303030303,3.0522173315302,0.9458874458874459,0.961038961038961,0.8831168831168831,0.948051948051948,0.961038961038961,0.961038961038961,0.961038961038961,0.961038961038961,0.06416940000053728,0.06622520000018994,0.004672399998526089,0.1350669999992533
i_bologna,illumination,1,4,1->4,264,909,82,81,78,264,0.9629629629629629,0.29545454545454547,4.92663054435838,0.9403292181069958,0.9629629629629629,0.8641975308641975,0.9259259259259259,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.06416940000053728,0.08946809999906691,0.005077100002381485,0.15871460000198567
i_bologna,illumination,1,5,1->5,264,1174,71,69,64,264,0.927536231884058,0.24242424242424243,11.724892523973974,0.9154589371980676,0.927536231884058,0.8405797101449275,0.8985507246376812,0.927536231884058,0.9420289855072463,0.9420289855072463,0.9420289855072463,0.06416940000053728,0.15100259999962873,0.006343199998809723,0.22151519999897573
i_bologna,illumination,1,6,1->6,264,1214,47,45,43,264,0.9555555555555556,0.16287878787878787,6.230372315083595,0.9370370370370371,0.9555555555555556,0.8888888888888888,0.9111111111111111,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.06416940000053728,0.11264070000106585,0.007065800000418676,0.1838759000020218
